LayerDate,MonthlyMeanSst,LayerName,Year,Month,Fyear,Region,AnnualMeanSst,AnnualLtm,MonthlyLtm,MonthlyMeanSstPercentileRank,AnnualMeanSstPercentileRank,AnnualAnomaly,MonthlyAnomaly,AnnualPercentageOfLtm,MonthlyPercentageOfLtm
1991-01-01,28.143929574547744,cropped_sst_198501.nc,1991,Jan,1991,Dry Tropics,25.4,26.2,28.6,16.7,0,-0.8,-0.5,96.9,98.4
1991-01-01,27.69151710383215,cropped_sst_198501.nc,1991,Jan,1991,Mackay Whitsunday Isaac,24.7,25.6,28.1,26.7,0,-0.9,-0.4,96.5,98.5
1991-01-01,28.31707581716324,cropped_sst_198501.nc,1991,Jan,1991,Wet Tropics,25.6,26.5,28.8,13.3,0,-0.9,-0.5,96.6,98.3
1991-02-01,28.50914629235823,cropped_sst_198501.nc,1991,Feb,1991,Dry Tropics,25.4,26.2,28.9,23.3,0,-0.8,-0.4,96.9,98.6
1991-02-01,28.088695662866357,cropped_sst_198501.nc,1991,Feb,1991,Mackay Whitsunday Isaac,24.7,25.6,28.4,23.3,0,-0.9,-0.3,96.5,98.9
1991-02-01,28.71835739603972,cropped_sst_198501.nc,1991,Feb,1991,Wet Tropics,25.6,26.5,29,26.7,0,-0.9,-0.3,96.6,99
1991-03-01,26.43258805262041,cropped_sst_198501.nc,1991,Mar,1991,Dry Tropics,25.4,26.2,28.2,0,0,-0.8,-1.8,96.9,93.7
1991-03-01,26.146785399960105,cropped_sst_198501.nc,1991,Mar,1991,Mackay Whitsunday Isaac,24.7,25.6,27.8,0,0,-0.9,-1.7,96.5,94.1
1991-03-01,26.656398931565267,cropped_sst_198501.nc,1991,Mar,1991,Wet Tropics,25.6,26.5,28.4,0,0,-0.9,-1.7,96.6,93.9
1991-04-01,25.980447174733893,cropped_sst_198501.nc,1991,Apr,1991,Dry Tropics,25.4,26.2,27.2,3.3,0,-0.8,-1.2,96.9,95.5
1991-04-01,25.768408884724238,cropped_sst_198501.nc,1991,Apr,1991,Mackay Whitsunday Isaac,24.7,25.6,26.8,3.3,0,-0.9,-1,96.5,96.2
1991-04-01,26.018601105961988,cropped_sst_198501.nc,1991,Apr,1991,Wet Tropics,25.6,26.5,27.3,3.3,0,-0.9,-1.3,96.6,95.3
1991-05-01,24.185189714922814,cropped_sst_198501.nc,1991,May,1991,Dry Tropics,25.4,26.2,25.8,0,0,-0.8,-1.6,96.9,93.7
1991-05-01,23.918186874107338,cropped_sst_198501.nc,1991,May,1991,Mackay Whitsunday Isaac,24.7,25.6,25.3,0,0,-0.9,-1.4,96.5,94.5
1991-05-01,24.42548736166007,cropped_sst_198501.nc,1991,May,1991,Wet Tropics,25.6,26.5,25.9,0,0,-0.9,-1.5,96.6,94.3
1991-06-01,23.0922628857579,cropped_sst_198501.nc,1991,Jun,1991,Dry Tropics,25.4,26.2,24.4,0,0,-0.8,-1.3,96.9,94.6
1991-06-01,22.561211848016363,cropped_sst_198501.nc,1991,Jun,1991,Mackay Whitsunday Isaac,24.7,25.6,23.7,0,0,-0.9,-1.1,96.5,95.2
1991-06-01,23.22957584057474,cropped_sst_198501.nc,1991,Jun,1991,Wet Tropics,25.6,26.5,24.6,0,0,-0.9,-1.4,96.6,94.4
1991-07-01,23.077249356401644,cropped_sst_198501.nc,1991,Jul,1992,Dry Tropics,26,26.2,23.5,20,19.4,-0.2,-0.4,99.2,98.2
1991-07-01,22.50909342929018,cropped_sst_198501.nc,1991,Jul,1992,Mackay Whitsunday Isaac,25.6,25.6,22.6,40,42,0,-0.1,100,99.6
1991-07-01,23.29828519167022,cropped_sst_198501.nc,1991,Jul,1992,Wet Tropics,26.1,26.5,23.9,10,9.7,-0.4,-0.6,98.5,97.5
1991-08-01,23.340989180050567,cropped_sst_198501.nc,1991,Aug,1992,Dry Tropics,26,26.2,23.5,43.3,19.4,-0.2,-0.2,99.2,99.3
1991-08-01,22.696785368376812,cropped_sst_198501.nc,1991,Aug,1992,Mackay Whitsunday Isaac,25.6,25.6,22.5,66.7,42,0,0.2,100,100.9
1991-08-01,23.54357399751133,cropped_sst_198501.nc,1991,Aug,1992,Wet Tropics,26.1,26.5,23.9,30,9.7,-0.4,-0.4,98.5,98.5
1991-09-01,24.239864476004914,cropped_sst_198501.nc,1991,Sep,1992,Dry Tropics,26,26.2,24.3,46.7,19.4,-0.2,-0.1,99.2,99.8
1991-09-01,23.39551803648858,cropped_sst_198501.nc,1991,Sep,1992,Mackay Whitsunday Isaac,25.6,25.6,23.4,53.3,42,0,-0,100,100
1991-09-01,24.192093864675034,cropped_sst_198501.nc,1991,Sep,1992,Wet Tropics,26.1,26.5,24.6,20,9.7,-0.4,-0.4,98.5,98.3
1991-10-01,25.767818456096702,cropped_sst_198501.nc,1991,Oct,1992,Dry Tropics,26,26.2,25.5,70,19.4,-0.2,0.3,99.2,101.1
1991-10-01,25.48933396529093,cropped_sst_198501.nc,1991,Oct,1992,Mackay Whitsunday Isaac,25.6,25.6,24.8,80,42,0,0.7,100,102.8
1991-10-01,25.688149836089206,cropped_sst_198501.nc,1991,Oct,1992,Wet Tropics,26.1,26.5,25.8,43.3,9.7,-0.4,-0.1,98.5,99.6
1991-11-01,26.576951244013095,cropped_sst_198501.nc,1991,Nov,1992,Dry Tropics,26,26.2,26.8,30,19.4,-0.2,-0.2,99.2,99.2
1991-11-01,26.207243295646617,cropped_sst_198501.nc,1991,Nov,1992,Mackay Whitsunday Isaac,25.6,25.6,26.2,46.7,42,0,0,100,100
1991-11-01,26.514512649081674,cropped_sst_198501.nc,1991,Nov,1992,Wet Tropics,26.1,26.5,27,10,9.7,-0.4,-0.5,98.5,98.2
1991-12-01,27.687696477585046,cropped_sst_198501.nc,1991,Dec,1992,Dry Tropics,26,26.2,28,26.7,19.4,-0.2,-0.3,99.2,98.9
1991-12-01,27.314417214442138,cropped_sst_198501.nc,1991,Dec,1992,Mackay Whitsunday Isaac,25.6,25.6,27.4,30,42,0,-0.1,100,99.7
1991-12-01,27.676254527233137,cropped_sst_198501.nc,1991,Dec,1992,Wet Tropics,26.1,26.5,28.1,20,9.7,-0.4,-0.4,98.5,98.5
1992-01-01,27.90552850532015,cropped_sst_198501.nc,1992,Jan,1992,Dry Tropics,26,26.2,28.6,0,19.4,-0.2,-0.7,99.2,97.6
1992-01-01,27.858524539534635,cropped_sst_198501.nc,1992,Jan,1992,Mackay Whitsunday Isaac,25.6,25.6,28.1,33.3,42,0,-0.2,100,99.1
1992-01-01,27.86043320494008,cropped_sst_198501.nc,1992,Jan,1992,Wet Tropics,26.1,26.5,28.8,0,9.7,-0.4,-0.9,98.5,96.7
1992-02-01,28.293631419256773,cropped_sst_198501.nc,1992,Feb,1992,Dry Tropics,26,26.2,28.9,13.3,19.4,-0.2,-0.6,99.2,97.9
1992-02-01,28.18784458696787,cropped_sst_198501.nc,1992,Feb,1992,Mackay Whitsunday Isaac,25.6,25.6,28.4,33.3,42,0,-0.2,100,99.3
1992-02-01,28.33851083865665,cropped_sst_198501.nc,1992,Feb,1992,Wet Tropics,26.1,26.5,29,6.7,9.7,-0.4,-0.7,98.5,97.7
1992-03-01,28.612710024929306,cropped_sst_198501.nc,1992,Mar,1992,Dry Tropics,26,26.2,28.2,76.7,19.4,-0.2,0.4,99.2,101.5
1992-03-01,28.150360783198494,cropped_sst_198501.nc,1992,Mar,1992,Mackay Whitsunday Isaac,25.6,25.6,27.8,66.7,42,0,0.4,100,101.3
1992-03-01,28.797770736019533,cropped_sst_198501.nc,1992,Mar,1992,Wet Tropics,26.1,26.5,28.4,73.3,9.7,-0.4,0.4,98.5,101.4
1992-04-01,27.30466124165026,cropped_sst_198501.nc,1992,Apr,1992,Dry Tropics,26,26.2,27.2,56.7,19.4,-0.2,0.1,99.2,100.4
1992-04-01,26.50325161918901,cropped_sst_198501.nc,1992,Apr,1992,Mackay Whitsunday Isaac,25.6,25.6,26.8,20,42,0,-0.3,100,98.9
1992-04-01,27.43861909893876,cropped_sst_198501.nc,1992,Apr,1992,Wet Tropics,26.1,26.5,27.3,53.3,9.7,-0.4,0.1,98.5,100.5
1992-05-01,25.561910562075898,cropped_sst_198501.nc,1992,May,1992,Dry Tropics,26,26.2,25.8,33.3,19.4,-0.2,-0.2,99.2,99.1
1992-05-01,25.109796475526032,cropped_sst_198501.nc,1992,May,1992,Mackay Whitsunday Isaac,25.6,25.6,25.3,33.3,42,0,-0.2,100,99.2
1992-05-01,25.821868226846632,cropped_sst_198501.nc,1992,May,1992,Wet Tropics,26.1,26.5,25.9,30,9.7,-0.4,-0.1,98.5,99.7
1992-06-01,23.913536583505024,cropped_sst_198501.nc,1992,Jun,1992,Dry Tropics,26,26.2,24.4,20,19.4,-0.2,-0.5,99.2,98
1992-06-01,23.340772444401264,cropped_sst_198501.nc,1992,Jun,1992,Mackay Whitsunday Isaac,25.6,25.6,23.7,20,42,0,-0.4,100,98.5
1992-06-01,24.18088446971742,cropped_sst_198501.nc,1992,Jun,1992,Wet Tropics,26.1,26.5,24.6,23.3,9.7,-0.4,-0.4,98.5,98.3
1992-07-01,23.190338731781253,cropped_sst_198501.nc,1992,Jul,1993,Dry Tropics,25.8,26.2,23.5,26.7,9.7,-0.4,-0.3,98.5,98.7
1992-07-01,22.275018506751472,cropped_sst_198501.nc,1992,Jul,1993,Mackay Whitsunday Isaac,25.2,25.6,22.6,23.3,9.7,-0.4,-0.3,98.4,98.6
1992-07-01,23.46499097562439,cropped_sst_198501.nc,1992,Jul,1993,Wet Tropics,26,26.5,23.9,23.3,6.5,-0.5,-0.4,98.1,98.2
1992-08-01,23.14650405583989,cropped_sst_198501.nc,1992,Aug,1993,Dry Tropics,25.8,26.2,23.5,33.3,9.7,-0.4,-0.4,98.5,98.5
1992-08-01,22.13907492546766,cropped_sst_198501.nc,1992,Aug,1993,Mackay Whitsunday Isaac,25.2,25.6,22.5,33.3,9.7,-0.4,-0.4,98.4,98.4
1992-08-01,23.40373648116735,cropped_sst_198501.nc,1992,Aug,1993,Wet Tropics,26,26.5,23.9,16.7,6.5,-0.5,-0.5,98.1,97.9
1992-09-01,24.91527105605376,cropped_sst_198501.nc,1992,Sep,1993,Dry Tropics,25.8,26.2,24.3,86.7,9.7,-0.4,0.6,98.5,102.5
1992-09-01,24.02745610447971,cropped_sst_198501.nc,1992,Sep,1993,Mackay Whitsunday Isaac,25.2,25.6,23.4,80,9.7,-0.4,0.6,98.4,102.7
1992-09-01,25.271046936296813,cropped_sst_198501.nc,1992,Sep,1993,Wet Tropics,26,26.5,24.6,86.7,6.5,-0.5,0.7,98.1,102.7
1992-10-01,25.233861750057397,cropped_sst_198501.nc,1992,Oct,1993,Dry Tropics,25.8,26.2,25.5,23.3,9.7,-0.4,-0.3,98.5,99
1992-10-01,24.555268242665733,cropped_sst_198501.nc,1992,Oct,1993,Mackay Whitsunday Isaac,25.2,25.6,24.8,30,9.7,-0.4,-0.2,98.4,99
1992-10-01,25.42208484105685,cropped_sst_198501.nc,1992,Oct,1993,Wet Tropics,26,26.5,25.8,26.7,6.5,-0.5,-0.4,98.1,98.5
1992-11-01,26.32280486709057,cropped_sst_198501.nc,1992,Nov,1993,Dry Tropics,25.8,26.2,26.8,6.7,9.7,-0.4,-0.5,98.5,98.2
1992-11-01,25.78572155125818,cropped_sst_198501.nc,1992,Nov,1993,Mackay Whitsunday Isaac,25.2,25.6,26.2,13.3,9.7,-0.4,-0.4,98.4,98.4
1992-11-01,26.504368241513248,cropped_sst_198501.nc,1992,Nov,1993,Wet Tropics,26,26.5,27,6.7,6.5,-0.5,-0.5,98.1,98.2
1992-12-01,27.71185637683403,cropped_sst_198501.nc,1992,Dec,1993,Dry Tropics,25.8,26.2,28,30,9.7,-0.4,-0.3,98.5,99
1992-12-01,27.18899630176922,cropped_sst_198501.nc,1992,Dec,1993,Mackay Whitsunday Isaac,25.2,25.6,27.4,23.3,9.7,-0.4,-0.2,98.4,99.2
1992-12-01,27.85479243653776,cropped_sst_198501.nc,1992,Dec,1993,Wet Tropics,26,26.5,28.1,26.7,6.5,-0.5,-0.2,98.1,99.1
1993-01-01,27.906693732512352,cropped_sst_198501.nc,1993,Jan,1993,Dry Tropics,25.8,26.2,28.6,3.3,9.7,-0.4,-0.7,98.5,97.6
1993-01-01,27.230888009402182,cropped_sst_198501.nc,1993,Jan,1993,Mackay Whitsunday Isaac,25.2,25.6,28.1,3.3,9.7,-0.4,-0.9,98.4,96.9
1993-01-01,28.027806889709584,cropped_sst_198501.nc,1993,Jan,1993,Wet Tropics,26,26.5,28.8,6.7,6.5,-0.5,-0.8,98.1,97.3
1993-02-01,27.48775071503347,cropped_sst_198501.nc,1993,Feb,1993,Dry Tropics,25.8,26.2,28.9,0,9.7,-0.4,-1.4,98.5,95.1
1993-02-01,27.20318686532048,cropped_sst_198501.nc,1993,Feb,1993,Mackay Whitsunday Isaac,25.2,25.6,28.4,0,9.7,-0.4,-1.2,98.4,95.8
1993-02-01,27.801787006295545,cropped_sst_198501.nc,1993,Feb,1993,Wet Tropics,26,26.5,29,0,6.5,-0.5,-1.2,98.1,95.9
1993-03-01,27.952357685016747,cropped_sst_198501.nc,1993,Mar,1993,Dry Tropics,25.8,26.2,28.2,23.3,9.7,-0.4,-0.2,98.5,99.1
1993-03-01,27.571369134971768,cropped_sst_198501.nc,1993,Mar,1993,Mackay Whitsunday Isaac,25.2,25.6,27.8,30,9.7,-0.4,-0.2,98.4,99.2
1993-03-01,28.140487369647524,cropped_sst_198501.nc,1993,Mar,1993,Wet Tropics,26,26.5,28.4,26.7,6.5,-0.5,-0.3,98.1,99.1
1993-04-01,26.887018966157907,cropped_sst_198501.nc,1993,Apr,1993,Dry Tropics,25.8,26.2,27.2,23.3,9.7,-0.4,-0.3,98.5,98.8
1993-04-01,26.43919056284549,cropped_sst_198501.nc,1993,Apr,1993,Mackay Whitsunday Isaac,25.2,25.6,26.8,16.7,9.7,-0.4,-0.4,98.4,98.7
1993-04-01,27.05721115463477,cropped_sst_198501.nc,1993,Apr,1993,Wet Tropics,26,26.5,27.3,23.3,6.5,-0.5,-0.2,98.1,99.1
1993-05-01,25.12018971585323,cropped_sst_198501.nc,1993,May,1993,Dry Tropics,25.8,26.2,25.8,10,9.7,-0.4,-0.7,98.5,97.4
1993-05-01,24.61829326022675,cropped_sst_198501.nc,1993,May,1993,Mackay Whitsunday Isaac,25.2,25.6,25.3,6.7,9.7,-0.4,-0.7,98.4,97.3
1993-05-01,25.337572237214456,cropped_sst_198501.nc,1993,May,1993,Wet Tropics,26,26.5,25.9,16.7,6.5,-0.5,-0.6,98.1,97.8
1993-06-01,23.923875333170905,cropped_sst_198501.nc,1993,Jun,1993,Dry Tropics,25.8,26.2,24.4,23.3,9.7,-0.4,-0.5,98.5,98
1993-06-01,23.465823276742093,cropped_sst_198501.nc,1993,Jun,1993,Mackay Whitsunday Isaac,25.2,25.6,23.7,33.3,9.7,-0.4,-0.2,98.4,99
1993-06-01,24.061037891608283,cropped_sst_198501.nc,1993,Jun,1993,Wet Tropics,26,26.5,24.6,20,6.5,-0.5,-0.5,98.1,97.8
1993-07-01,23.64888892910345,cropped_sst_198501.nc,1993,Jul,1994,Dry Tropics,26.1,26.2,23.5,56.7,22.6,-0.1,0.1,99.6,100.6
1993-07-01,22.90623496264688,cropped_sst_198501.nc,1993,Jul,1994,Mackay Whitsunday Isaac,25.5,25.6,22.6,76.7,32.3,-0.1,0.3,99.6,101.4
1993-07-01,23.96444944354171,cropped_sst_198501.nc,1993,Jul,1994,Wet Tropics,26.3,26.5,23.9,53.3,22.6,-0.2,0.1,99.2,100.3
1993-08-01,24.28983739010364,cropped_sst_198501.nc,1993,Aug,1994,Dry Tropics,26.1,26.2,23.5,86.7,22.6,-0.1,0.8,99.6,103.4
1993-08-01,23.30719705294063,cropped_sst_198501.nc,1993,Aug,1994,Mackay Whitsunday Isaac,25.5,25.6,22.5,83.3,32.3,-0.1,0.8,99.6,103.6
1993-08-01,24.302292438190335,cropped_sst_198501.nc,1993,Aug,1994,Wet Tropics,26.3,26.5,23.9,73.3,22.6,-0.2,0.4,99.2,101.7
1993-09-01,24.280555520923482,cropped_sst_198501.nc,1993,Sep,1994,Dry Tropics,26.1,26.2,24.3,50,22.6,-0.1,-0,99.6,99.9
1993-09-01,23.475522671222247,cropped_sst_198501.nc,1993,Sep,1994,Mackay Whitsunday Isaac,25.5,25.6,23.4,63.3,32.3,-0.1,0.1,99.6,100.3
1993-09-01,24.40793318696831,cropped_sst_198501.nc,1993,Sep,1994,Wet Tropics,26.3,26.5,24.6,40,22.6,-0.2,-0.2,99.2,99.2
1993-10-01,25.28593495221642,cropped_sst_198501.nc,1993,Oct,1994,Dry Tropics,26.1,26.2,25.5,33.3,22.6,-0.1,-0.2,99.6,99.2
1993-10-01,24.600212776473448,cropped_sst_198501.nc,1993,Oct,1994,Mackay Whitsunday Isaac,25.5,25.6,24.8,43.3,32.3,-0.1,-0.2,99.6,99.2
1993-10-01,25.377499978034503,cropped_sst_198501.nc,1993,Oct,1994,Wet Tropics,26.3,26.5,25.8,16.7,22.6,-0.2,-0.4,99.2,98.4
1993-11-01,27.062425502270543,cropped_sst_198501.nc,1993,Nov,1994,Dry Tropics,26.1,26.2,26.8,66.7,22.6,-0.1,0.3,99.6,101
1993-11-01,26.450272893596864,cropped_sst_198501.nc,1993,Nov,1994,Mackay Whitsunday Isaac,25.5,25.6,26.2,70,32.3,-0.1,0.3,99.6,101
1993-11-01,27.33919675599797,cropped_sst_198501.nc,1993,Nov,1994,Wet Tropics,26.3,26.5,27,66.7,22.6,-0.2,0.3,99.2,101.3
1993-12-01,27.437086746298522,cropped_sst_198501.nc,1993,Dec,1994,Dry Tropics,26.1,26.2,28,16.7,22.6,-0.1,-0.6,99.6,98
1993-12-01,27.06421831909095,cropped_sst_198501.nc,1993,Dec,1994,Mackay Whitsunday Isaac,25.5,25.6,27.4,16.7,32.3,-0.1,-0.3,99.6,98.8
1993-12-01,27.320947605780315,cropped_sst_198501.nc,1993,Dec,1994,Wet Tropics,26.3,26.5,28.1,10,22.6,-0.2,-0.8,99.2,97.2
1994-01-01,29.18134145038884,cropped_sst_198501.nc,1994,Jan,1994,Dry Tropics,26.1,26.2,28.6,86.7,22.6,-0.1,0.6,99.6,102
1994-01-01,28.414107323575085,cropped_sst_198501.nc,1994,Jan,1994,Mackay Whitsunday Isaac,25.5,25.6,28.1,70,32.3,-0.1,0.3,99.6,101.1
1994-01-01,29.306489188748575,cropped_sst_198501.nc,1994,Jan,1994,Wet Tropics,26.3,26.5,28.8,93.3,22.6,-0.2,0.5,99.2,101.8
1994-02-01,28.76880762829044,cropped_sst_198501.nc,1994,Feb,1994,Dry Tropics,26.1,26.2,28.9,36.7,22.6,-0.1,-0.1,99.6,99.5
1994-02-01,28.229870520070346,cropped_sst_198501.nc,1994,Feb,1994,Mackay Whitsunday Isaac,25.5,25.6,28.4,36.7,32.3,-0.1,-0.2,99.6,99.4
1994-02-01,28.989259924699255,cropped_sst_198501.nc,1994,Feb,1994,Wet Tropics,26.3,26.5,29,36.7,22.6,-0.2,-0,99.2,100
1994-03-01,28.063170712168624,cropped_sst_198501.nc,1994,Mar,1994,Dry Tropics,26.1,26.2,28.2,33.3,22.6,-0.1,-0.1,99.6,99.5
1994-03-01,27.397432925412215,cropped_sst_198501.nc,1994,Mar,1994,Mackay Whitsunday Isaac,25.5,25.6,27.8,20,32.3,-0.1,-0.4,99.6,98.6
1994-03-01,28.431444080297698,cropped_sst_198501.nc,1994,Mar,1994,Wet Tropics,26.3,26.5,28.4,46.7,22.6,-0.2,0,99.2,100.1
1994-04-01,26.769661254676056,cropped_sst_198501.nc,1994,Apr,1994,Dry Tropics,26.1,26.2,27.2,13.3,22.6,-0.1,-0.4,99.6,98.4
1994-04-01,26.248987054957162,cropped_sst_198501.nc,1994,Apr,1994,Mackay Whitsunday Isaac,25.5,25.6,26.8,13.3,32.3,-0.1,-0.6,99.6,97.9
1994-04-01,26.704034294032017,cropped_sst_198501.nc,1994,Apr,1994,Wet Tropics,26.3,26.5,27.3,10,22.6,-0.2,-0.6,99.2,97.8
1994-05-01,25.12647697531434,cropped_sst_198501.nc,1994,May,1994,Dry Tropics,26.1,26.2,25.8,13.3,22.6,-0.1,-0.7,99.6,97.4
1994-05-01,24.665300641867102,cropped_sst_198501.nc,1994,May,1994,Mackay Whitsunday Isaac,25.5,25.6,25.3,13.3,32.3,-0.1,-0.6,99.6,97.5
1994-05-01,25.083718401430318,cropped_sst_198501.nc,1994,May,1994,Wet Tropics,26.3,26.5,25.9,6.7,22.6,-0.2,-0.8,99.2,96.8
1994-06-01,23.617967522887355,cropped_sst_198501.nc,1994,Jun,1994,Dry Tropics,26.1,26.2,24.4,10,22.6,-0.1,-0.8,99.6,96.8
1994-06-01,23.000309899159873,cropped_sst_198501.nc,1994,Jun,1994,Mackay Whitsunday Isaac,25.5,25.6,23.7,10,32.3,-0.1,-0.7,99.6,97
1994-06-01,23.852590261383607,cropped_sst_198501.nc,1994,Jun,1994,Wet Tropics,26.3,26.5,24.6,10,22.6,-0.2,-0.7,99.2,97
1994-07-01,23.44136857857226,cropped_sst_198501.nc,1994,Jul,1995,Dry Tropics,26.1,26.2,23.5,43.3,22.6,-0.1,-0.1,99.6,99.8
1994-07-01,22.51987048104116,cropped_sst_198501.nc,1994,Jul,1995,Mackay Whitsunday Isaac,25.4,25.6,22.6,43.3,22.6,-0.2,-0.1,99.2,99.6
1994-07-01,23.732933230348443,cropped_sst_198501.nc,1994,Jul,1995,Wet Tropics,26.3,26.5,23.9,43.3,22.6,-0.2,-0.2,99.2,99.3
1994-08-01,22.68388889798627,cropped_sst_198501.nc,1994,Aug,1995,Dry Tropics,26.1,26.2,23.5,6.7,22.6,-0.1,-0.8,99.6,96.5
1994-08-01,21.708936167248524,cropped_sst_198501.nc,1994,Aug,1995,Mackay Whitsunday Isaac,25.4,25.6,22.5,0,22.6,-0.2,-0.8,99.2,96.5
1994-08-01,23.033925973981727,cropped_sst_198501.nc,1994,Aug,1995,Wet Tropics,26.3,26.5,23.9,6.7,22.6,-0.2,-0.9,99.2,96.4
1994-09-01,23.602696434269106,cropped_sst_198501.nc,1994,Sep,1995,Dry Tropics,26.1,26.2,24.3,10,22.6,-0.1,-0.7,99.6,97.1
1994-09-01,22.706822393560277,cropped_sst_198501.nc,1994,Sep,1995,Mackay Whitsunday Isaac,25.4,25.6,23.4,6.7,22.6,-0.2,-0.7,99.2,97
1994-09-01,23.87183210393582,cropped_sst_198501.nc,1994,Sep,1995,Wet Tropics,26.3,26.5,24.6,0,22.6,-0.2,-0.7,99.2,97
1994-10-01,25.21509482737802,cropped_sst_198501.nc,1994,Oct,1995,Dry Tropics,26.1,26.2,25.5,20,22.6,-0.1,-0.3,99.6,98.9
1994-10-01,24.571628147093485,cropped_sst_198501.nc,1994,Oct,1995,Mackay Whitsunday Isaac,25.4,25.6,24.8,33.3,22.6,-0.2,-0.2,99.2,99.1
1994-10-01,25.381380916072143,cropped_sst_198501.nc,1994,Oct,1995,Wet Tropics,26.3,26.5,25.8,20,22.6,-0.2,-0.4,99.2,98.4
1994-11-01,26.821436285003415,cropped_sst_198501.nc,1994,Nov,1995,Dry Tropics,26.1,26.2,26.8,43.3,22.6,-0.1,0,99.6,100.1
1994-11-01,26.475795529706957,cropped_sst_198501.nc,1994,Nov,1995,Mackay Whitsunday Isaac,25.4,25.6,26.2,76.7,22.6,-0.2,0.3,99.2,101.1
1994-11-01,26.863339372490287,cropped_sst_198501.nc,1994,Nov,1995,Wet Tropics,26.3,26.5,27,36.7,22.6,-0.2,-0.1,99.2,99.5
1994-12-01,27.192398334906354,cropped_sst_198501.nc,1994,Dec,1995,Dry Tropics,26.1,26.2,28,13.3,22.6,-0.1,-0.8,99.6,97.1
1994-12-01,26.689259968456795,cropped_sst_198501.nc,1994,Dec,1995,Mackay Whitsunday Isaac,25.4,25.6,27.4,13.3,22.6,-0.2,-0.7,99.2,97.4
1994-12-01,27.533916948504395,cropped_sst_198501.nc,1994,Dec,1995,Wet Tropics,26.3,26.5,28.1,16.7,22.6,-0.2,-0.6,99.2,98
1995-01-01,28.56867201993782,cropped_sst_198501.nc,1995,Jan,1995,Dry Tropics,26.1,26.2,28.6,40,22.6,-0.1,-0,99.6,99.9
1995-01-01,27.984819602789866,cropped_sst_198501.nc,1995,Jan,1995,Mackay Whitsunday Isaac,25.4,25.6,28.1,40,22.6,-0.2,-0.1,99.2,99.6
